William McKinley Republican	William Jennings Bryan Democratic	John Woolley Prohibition	Eugene V. Debs Socialist	Wharton Barker Populist	Joseph F. Maloney Socialist Labor
electoral

votes	#	-%	electoral

votes	#	-%	electoral

votes	#	-%	electoral

votes	#	-%	electoral

votes	#	-%	electoral

votes	#	-%	electoral

votes	#	-%	#	-
Alabama	11	55612	34.82	-	97129	60.82	11	2763	1.73	-	-	-	-	4188	2.62	-	-	-	-	-41517	-26.00	159692	AL
Arkansas	8	44800	35.04	-	81142	63.46	8	584	0.46	-	-	-	-	972	0.76	-	-	-	-	-36342	-28.42	127866	AR
California	9	164755	54.50	9	124985	41.34	-	5024	1.66	-	-	-	-	-	-	-	7554	2.50	-	39770	13.16	302318	CA
Colorado	4	93072	42.04	-	122733	55.43	4	3790	1.71	-	714	0.32	-	389	0.18	-	684	0.31	-	-29661	-13.40	221408	CO
Connecticut	6	102572	56.92	6	74014	41.07	-	1617	0.90	-	1029	0.57	-	-	-	-	908	0.50	-	28558	15.85	180195	CT
Delaware	3	22535	53.67	3	18852	44.90	-	546	1.30	-	56	0.13	-	-	-	-	-	-	-	3683	8.77	41989	DE
Florida	4	7355	18.55	-	28273	71.31	4	2244	5.66	-	634	1.60	-	1143	2.88	-	-	-	-	-20918	-52.76	39649	FL
Georgia	13	34260	28.22	-	81180	66.86	13	1402	1.15	-	-	-	-	4568	3.76	-	-	-	-	-46920	-38.65	121410	GA
Idaho	3	27198	46.96	-	29414	50.79	3	857	1.48	-	-	-	-	445	0.77	-	-	-	-	-2216	-3.83	57914	ID
Illinois	24	597985	52.83	24	503061	44.44	-	17626	1.56	-	9687	0.86	-	1141	0.10	-	1373	0.12	-	94924	8.39	1131897	IL
Indiana	15	336063	50.60	15	309584	46.62	-	13718	2.07	-	2374	0.36	-	1438	0.22	-	663	0.10	-	26479	3.99	664094	IN
Iowa	13	307808	58.04	13	209265	39.46	-	9502	1.79	-	2742	0.52	-	613	0.12	-	259	0.05	-	98543	18.58	530355	IA
Kansas	10	185955	52.56	10	162601	45.96	-	3605	1.02	-	1605	0.45	-	-	-	-	-	-	-	23354	6.60	353766	KS
Kentucky	13	227132	48.51	-	235126	50.21	13	2890	0.62	-	766	0.16	-	1961	0.42	-	390	0.08	-	-7994	-1.71	468265	KY
Louisiana	8	14234	20.96	-	53668	79.03	8	-	-	-	-	-	-	-	-	-	-	-	-	-39434	-58.07	67906	LA
Maine	6	65412	61.89	6	36822	34.84	-	2581	2.44	-	878	0.83	-	-	-	-	-	-	-	28590	27.05	105693	ME
Maryland	8	136185	51.50	8	122238	46.23	-	4574	1.73	-	904	0.34	-	-	-	-	388	0.15	-	13947	5.27	264434	MD
Massachusetts	15	238866	57.59	15	156997	37.85	-	6202	1.50	-	9607	2.32	-	-	-	-	2599	0.63	-	81869	19.74	414804	MA
Michigan	14	316269	58.10	14	211685	38.89	-	11859	2.18	-	2826	0.52	-	903	0.17	-	837	0.15	-	104584	19.21	544379	MI
Minnesota	9	190461	60.21	9	112901	35.69	-	8555	2.70	-	3065	0.97	-	-	-	-	1329	0.42	-	77560	24.52	316311	MN
Mississippi	9	5707	9.66	-	51706	87.56	9	-	-	-	-	-	-	1642	2.78	-	-	-	-	-45999	-77.89	59055	MS
Missouri	17	314092	45.94	-	351922	51.48	17	5965	0.87	-	6139	0.90	-	4244	0.62	-	1294	0.19	-	-37830	-5.53	683656	MO
Montana	3	25409	39.79	-	37311	58.43	3	306	0.48	-	711	1.11	-	-	-	-	119	0.19	-	-11902	-18.64	63856	MT
Nebraska	8	121835	50.46	8	114013	47.22	-	3655	1.51	-	823	0.34	-	1104	0.46	-	-	-	-	7822	3.24	241430	NE
Nevada	3	3849	37.75	-	6347	62.25	3	-	-	-	-	-	-	-	-	-	-	-	-	-2498	-24.50	10196	NV
New Hampshire	4	54799	59.33	4	35489	38.42	-	1270	1.37	-	790	0.86	-	-	-	-	-	-	-	19310	20.91	92364	NH
New Jersey	10	221707	55.28	10	164808	41.09	-	7183	1.79	-	4609	1.15	-	669	0.17	-	2074	0.52	-	56899	14.19	401050	NJ
New York	36	822013	53.10	36	678462	43.83	-	22077	1.43	-	12869	0.83	-	-	-	-	12621	0.82	-	143551	9.27	1548042	NY
North Carolina	11	132997	45.47	-	157733	53.92	11	990	0.34	-	-	-	-	798	0.27	-	-	-	-	-24736	-8.46	292518	NC
North Dakota	3	46526	55.25	3	33385	39.64	-	2536	3.01	-	1494	1.77	-	275	0.33	-	-	-	-	13141	15.60	84216	ND
Ohio	23	543918	52.30	23	474882	45.66	-	10203	0.98	-	4847	0.47	-	251	0.02	-	1688	0.16	-	69036	6.64	1040073	OH
Oregon	4	46172	55.46	4	32810	39.41	-	2536	3.05	-	1464	1.76	-	269	0.32	-	-	-	-	13362	16.05	83251	OR
Pennsylvania	32	712665	60.74	32	424232	36.16	-	27908	2.38	-	4831	0.41	-	638	0.05	-	2936	0.25	-	288433	24.58	1173210	PA
Rhode Island	4	33784	59.74	4	19812	35.04	-	1529	2.70	-	-	-	-	-	-	-	1423	2.52	-	13972	24.71	56548	RI
South Carolina	9	3579	7.04	-	47233	92.96	9	-	-	-	-	-	-	-	-	-	-	-	-	-43654	-85.91	50812	SC
South Dakota	4	54530	56.73	4	39544	41.14	-	1542	1.60	-	169	0.18	-	339	0.35	-	-	-	-	14986	15.59	96124	SD
