Obama	Romney	Johnson	Stein	Others
State	Electors	N	P	N	P	N	P	N	P	N	P	Margin	P	Total
Alabama	9	795696	38.36	1255925	60.55	12328	0.59	3397	0.16	6992	0.34	-460229	-22.19%	2074338
Alaska	3	122640	40.81	164676	54.80	7392	2.46	2917	0.97	2870	0.96	-42036	-13.99%	300495
Arizona	11	1025232	44.59	1233654	53.65	32100	1.40	7816	0.34	452	0.02	-208422	-9.06%	2299254
Arkansas	6	394409	36.88	647744	60.57	16276	1.52	9305	0.87	1734	0.16	-253335	-23.69%	1069468
California	55	7854285	60.24	4839958	37.12	143221	1.10	85638	0.66	115445	0.89	3014327	23.12	13038547
Colorado	9	1323101	51.49	1185243	46.13	35545	1.38	7508	0.29	18123	0.71	137858	5.37	2569520
Connecticut	7	905083	58.06	634892	40.73	12580	0.81	863	0.06	5542	0.36	270191	17.33	1558960
Delaware	3	242584	58.61	165484	39.98	3882	0.94	1940	0.47	31	0.01	77100	18.63	413921
District of Columbia	3	267070	90.91	21381	7.28	2083	0.71	2458	0.84	772	0.26	245689	83.63	293764
Florida	29	4237756	50.01	4163447	49.13	44726	0.53	8947	0.11	19303	0.23	74309	0.88	8474179
Georgia	16	1773827	45.48	2078688	53.30	45324	1.16	1516	0.04	695	0.02	-304861	-7.82%	3900050
Hawaii	4	306658	70.55	121015	27.84	3840	0.88	3184	0.73	0	0.00	185643	42.71	434697
Idaho	4	212787	32.62	420911	64.53	9453	1.45	4402	0.67	4721	0.72	-208124	-31.91%	652274
Illinois	20	3019512	57.60	2135216	40.73	56229	1.07	30222	0.58	835	0.02	884296	16.87	5242014
Indiana	11	1152887	43.93	1420543	54.13	50111	1.91	625	0.02	368	0.01	-267656	-10.20%	2624534
Iowa	6	822544	51.99	730617	46.18	12926	0.82	3769	0.24	12324	0.78	91927	5.81	1582180
Kansas	6	440726	37.99	692634	59.71	20456	1.76	714	0.06	5441	0.47	-251908	-21.72%	1159971
Kentucky	8	679370	37.80	1087190	60.49	17063	0.95	6337	0.35	7252	0.40	-407820	-22.69%	1797212
Louisiana	8	809141	40.58	1152262	57.78	18157	0.91	6978	0.35	7527	0.38	-343121	-17.21%	1994065
Maine-	4	401306	56.27	292276	40.98	9352	1.31	8119	1.14	2127	0.30	109030	15.29	713180
Maryland	10	1677844	61.97	971869	35.90	30195	1.12	17110	0.63	10309	0.38	705975	26.08	2707327
Massachusetts	11	1921290	60.65	1188314	37.51	30920	0.98	20691	0.65	6552	0.21	732976	23.14	3167767
Michigan	16	2564569	54.21	2115256	44.71	7774	0.16	21897	0.46	21465	0.45	449313	9.50	4730961
Minnesota	10	1546167	52.65	1320225	44.96	35098	1.20	13023	0.44	22048	0.75	225942	7.69	2936561
Mississippi	6	562949	43.79	710746	55.29	6676	0.52	1588	0.12	3625	0.28	-147797	-11.50%	1285584
Missouri	10	1223796	44.38	1482440	53.76	43151	1.56	0	0.00	7936	0.29	-258644	-9.38%	2757323
Montana	3	201839	41.70	267928	55.35	14165	2.93	0	0.00	116	0.02	-66089	-13.65%	484048
Nebraska-	5	302081	38.03	475064	59.80	11109	1.40	0	0.00	6125	0.77	-172983	-21.78%	794379
Nevada	6	531373	52.36	463567	45.68	10968	1.08	0	0.00	9010	0.89	67806	6.68	1014918
New Hampshire	4	369561	51.98	329918	46.40	8212	1.16	324	0.05	2957	0.42	39643	5.58	710972
New Jersey[100]	14	2125101	58.38	1477568	40.59	21045	0.58	9888	0.27	6690	0.18	647533	17.81	3640292
New Mexico	5	415335	52.99	335788	42.84	27788	3.55	2691	0.34	2156	0.28	79547	10.15	783758
New York[101]	29	4480244	63.41	2489569	35.23	47229	0.67	39936	0.56	8670	0.12	1990675	28.18	7065648
North Carolina	15	2178391	48.35	2270395	50.39	44515	0.99	0	0.00	12071	0.27	-92004	-2.04%	4505372
North Dakota	3	124966	38.70	188320	58.32	5238	1.62	1362	0.42	3046	0.94	-63354	-19.62%	322932
Ohio[102]	18	2827710	50.67	2661433	47.69	49493	0.89	18574	0.33	23630	0.42	166277	2.98	5580840
Oklahoma	7	443547	33.23	891325	66.77	0	0.00	0	0.00	0	0.00	-447778	-33.54%	1334872
Oregon	7	970488	54.24	754175	42.15	24089	1.35	19427	1.09	21091	1.18	216313	12.09	1789270
Pennsylvania	20	2990274	51.97	2680434	46.59	49991	0.87	21341	0.37	11630	0.20	309840	5.39	5753670
Rhode Island	4	279677	62.70	157204	35.24	4388	0.98	2421	0.54	2359	0.53	122473	27.46	446049
South Carolina	9	865941	44.09	1071645	54.56	16321	0.83	5446	0.28	4765	0.24	-205704	-10.47%	1964118
South Dakota	3	145039	39.87	210610	57.89	5795	1.59	0	0.00	2371	0.65	-65571	-18.02%	363815
Tennessee	11	960709	39.08	1462330	59.48	18623	0.76	6515	0.26	10400	0.42	-501621	-20.40%	2458577
Texas	38	3308124	41.38	4569843	57.17	88580	1.11	24657	0.31	2647	0.03	-1261719	-15.78%	7993851
Utah	6	251813	24.75	740600	72.79	12572	1.24	3817	0.38	8638	0.85	-488787	-48.04%	1017440
Vermont	3	199239	66.57	92698	30.97	3487	1.17	594	0.20	3272	1.09	106541	35.60	299290
Virginia	13	1971820	51.16	1822522	47.28	31216	0.81	8627	0.22	20305	0.53	149298	3.87	3854490
Washington	12	1755396	56.16	1290670	41.29	42202	1.35	20928	0.67	16320	0.52	464726	14.87	3125516
West Virginia	5	238269	35.54	417655	62.30	6302	0.94	4406	0.66	3806	0.57	-179386	-26.76%	670438
Wisconsin[103]	10	1620985	52.83	1407966	45.89	20439	0.67	7665	0.25	11379	0.37	213019	6.94	3068434
Wyoming	3	69286	27.82	170962	68.64	5326	2.14	0	0.00	3487	1.40	-101676	-40.82%	249061
#U.S. Total	538	65910437	51.07	60932795	47.21	1275951	0.99	469583	0.36	480428	0.37	4977642	3.86	129069194
