				"WILLIAM McKINLEY"		"WILLIAM J. BRYAN"
				Republican			Democratic
STATE 		TOTAL 		Votes 		% 	EV 	Votes 		% 	EV
Alabama 	160,477 	55,634 		34.7 	-  	96,368 		60.1 	11
Arkansas 	127,966 	44,800 		35.0 	-  	81,242 		63.5 	8
California 	302,399 	164,755 	54.5 	9 	124,985 	41.3 	- 
Colorado 	220,895 	92,701 		42.0 	-  	122,705 	55.5 	4
Connecticut 	180,195 	102,572 	56.9 	6 	74,014 		41.1 	- 
Delaware 	41,989 		22,535 		53.7 	3 	18,852 		44.9 	- 
Florida 	39,777 		7,463 		18.8 	-  	28,273 		71.1 	4
Georgia 	121,410 	34,260 		28.2 	-  	81,180 		66.9 	13
Idaho 		56,760 		27,198 		47.9 	-  	28,260 		49.8 	3
Illinois 	1,131,898 	597,985 	52.8 	24 	503,061 	44.4 	- 
Indiana 	664,094 	336,063 	50.6 	15 	309,584 	46.6 	- 
Iowa 		530,345 	307,799 	58.0 	13 	209,261 	39.5 	- 
Kansas 		353,766 	185,955 	52.6 	10 	162,601 	46.0 	- 
Kentucky 	467,580 	226,801 	48.5 	-  	234,889 	50.2 	13
Louisiana 	67,906 		14,234 		21.0 	-  	53,668 		79.0 	8
Maine 		107,698 	66,413 		61.7 	6 	37,822 		35.1 	- 
Maryland 	264,386 	136,151 	51.5 	8 	122,237 	46.2 	- 
Massachusetts 	414,804 	238,866 	57.6 	15 	156,997 	37.8 	- 
Michigan 	543,789 	316,014 	58.1 	14 	211,432 	38.9 	- 
Minnesota 	316,311 	190,461 	60.2 	9 	112,901 	35.7 	- 
Mississippi 	59,055 		5,707 		9.7 	-  	51,706 		87.6 	9
Missouri 	683,658 	314,092 	45.9 	-  	351,922 	51.5 	17
Montana 	63,856 		25,409 		39.8 	-  	37,311 		58.4 	3
Nebraska 	241,430 	121,835 	50.5 	8 	114,013 	47.2 	- 
Nevada 		10,196 		3,849 		37.8 	-  	6,347 		62.2 	3
New-Hampshire 	92,364 		54,799 		59.3 	4 	35,489 		38.4 	- 
New-Jersey 	401,050 	221,707 	55.3 	10 	164,808 	41.1 	- 
New-York 	1,548,043 	822,013 	53.1 	36 	678,462 	43.8 	- 
North-Carolina 	292,518 	132,997 	45.5 	-  	157,733 	53.9 	11
North-Dakota 	57,783 		35,898 		62.1 	3 	20,524 		35.5 	- 
Ohio 		1,040,073 	543,918 	52.3 	23 	474,882 	45.7 	- 
Oregon 		84,216 		46,526 		55.2 	4 	33,385 		39.6 	- 
Pennsylvania 	1,173,210 	712,665 	60.7 	32 	424,232 	36.2 	- 
Rhode-Island 	56,548 		33,784 		59.7 	4 	19,812 		35.0 	- 
South-Carolina 	50,698 		3,525 		7.0 	-  	47,173 		93.0 	9
South-Dakota 	96,169 		54,574 		56.7 	4 	39,538 		41.1 	- 
Tennessee 	273,860 	123,108 	45.0 	-  	145,240 	53.0 	12
Texas 		424,334 	131,174 	30.9 	-  	267,945 	63.1 	15
Utah 		93,071 		47,089 		50.6 	3 	44,949 		48.3 	- 
Vermont 	56,212 		42,569 		75.7 	4 	12,849 		22.9 	- 
Virginia 	264,208 	115,769 	43.8 	-  	146,079 	55.3 	12
Washington 	107,523 	57,455 		53.4 	4 	44,833 		41.7 	- 
West-Virginia 	220,796 	119,829 	54.3 	6 	98,807 		44.8 	- 
Wisconsin 	442,501 	265,760 	60.1 	12 	159,163 	36.0 	- 
Wyoming 	24,708 		14,482 		58.6 	3 	10,164 		41.1 	- 
#Totals 	13,972,525 	7,219,193 	51.7 	292 	6,357,698 	45.5 	155
